cd_estacao,nome,uf,situacao,tp_estacao,latitude,longitude
A009,PALMAS,TO,Operante,Automatica,-10.14777777,-48.31444444
A010,PARANA,TO,Operante,Automatica,-12.615,-47.87194443
A018,PEIXE,TO,Operante,Automatica,-12.01527777,-48.54444444
A019,GURUPI,TO,Operante,Automatica,-11.74499999,-49.05166666
A020,PEDRO AFONSO,TO,Operante,Automatica,-8.9686111,-48.17722221
A021,ARAGUAINA,TO,Operante,Automatica,-7.10388888,-48.20111111
A038,DIANOPOLIS,TO,Operante,Automatica,-11.59444444,-46.84722221
A039,FORMOSO DO ARAGUAIA,TO,Operante,Automatica,-11.88749999,-49.60833333
A040,MATEIROS,TO,Operante,Automatica,-10.43444444,-45.92194443
A041,MARIANOPOLIS DO TO,TO,Operante,Automatica,-9.57638888,-49.72333332
A043,CAMPOS LINDOS,TO,Pane,Automatica,-8.15472222,-46.63944444
A044,ARAGUATINS,TO,Operante,Automatica,-5.6436111,-48.11194444
A048,SANTA FE DO ARAGUAIA,TO,Pane,Automatica,-7.12416666,-48.78138888
A049,COLINAS DO TOCANTINS,TO,Operante,Automatica,-8.09277777,-48.4786111
A050,RIO SONO,TO,Operante,Automatica,-9.79333333,-47.13277777
A051,PIUM,TO,Pane,Automatica,-10.47694443,-49.62944443
A052,SANTA ROSA DO TOCANTINS,TO,Operante,Automatica,-11.42888888,-48.18499999
A053,ALMAS,TO,Operante,Automatica,-11.28416666,-47.21222222
A054,ARAGUACU,TO,Operante,Automatica,-12.59222221,-49.5286111
A055,LAGOA DA CONFUSAO,TO,Operante,Automatica,-10.828286,-49.847882
A101,MANAUS,AM,Operante,Automatica,-3.10333333,-60.01638888
A102,PARQUE ESTADUAL CHANDLESS,AC,Pane,Automatica,-9.35833333,-69.92638888
A104,RIO BRANCO,AC,Operante,Automatica,-9.95916666,-67.86888888
A108,CRUZEIRO DO SUL,AC,Pane,Automatica,-7.61055555,-72.6811111
A109,EIRUNEPE,AM,Pane,Automatica,-6.65027777,-69.8686111
A110,BOCA DO ACRE,AM,Operante,Automatica,-8.77666666,-67.33249999
A111,LABREA,AM,Pane,Automatica,-7.26055555,-64.7886111
A112,HUMAITA,AM,Operante,Automatica,-7.5525,-63.07138888
A113,APUI,AM,Pane,Automatica,-7.20555555,-59.8886111
A117,COARI,AM,Pane,Automatica,-4.09749999,-63.14527777
A119,MANACAPURU,AM,Operante,Automatica,-3.29472221,-60.62833332
A120,AUTAZES,AM,Operante,Automatica,-3.58333333,-59.12944443
A121,ITACOATIARA,AM,Operante,Automatica,-3.13333333,-58.48277777
A122,MAUES,AM,Pane,Automatica,-3.39888888,-57.67388888
A123,PARINTINS,AM,Operante,Automatica,-2.63916666,-56.75611111
A124,URUCARA,AM,Pane,Automatica,-2.53472221,-57.75805555
A125,RIO URUBU,AM,Pane,Automatica,-2.6336111,-59.60055555
A126,PRESIDENTE FIGUEIREDO,AM,Pane,Automatica,-2.05666666,-60.02583332
A128,BARCELOS,AM,Operante,Automatica,-0.98722221,-62.92416666
A133,MANICORE,AM,Operante,Automatica,-5.7886111,-61.28833333
A134,S. G. DA CACHOEIRA,AM,Pane,Automatica,-0.12527777,-67.06111111
A135,BOA VISTA,RR,Pane,Automatica,2.81694443,-60.69083333
A136,PORTO WALTER,AC,Pane,Automatica,-8.26722221,-72.74777777
A138,FEIJO,AC,Operante,Automatica,-8.14277777,-70.3436111
A140,EPITACIOLANDIA,AC,Pane,Automatica,-11.02388888,-68.73527777
A144,NOVO ARIPUANA,AM,Operante,Automatica,-8.0911111,-60.38055554
A201,BELEM,PA,Operante,Automatica,-1.41111111,-48.43944444
A202,CASTANHAL,PA,Operante,Automatica,-1.30083333,-47.94805555
A209,MEDICILANDIA,PA,Pane,Automatica,-3.51083333,-52.96333333
A210,PACAJA,PA,Operante,Automatica,-3.8436111,-50.63805555
A211,PLACAS,PA,Pane,Automatica,-3.86416666,-54.21638888
A212,PARAGOMINAS,PA,Operante,Automatica,-2.90055555,-47.49499999
