cd_estacao,nome,uf,situacao,tp_estacao,latitude,longitude
A001,BRASILIA,DF,Operante,Automatica,-15.78944444,-47.92583332
A002,GOIANIA,GO,Operante,Automatica,-16.64277777,-49.22027777
A003,MORRINHOS,GO,Pane,Automatica,-17.74499999,-49.10166666
A005,PORANGATU,GO,Operante,Automatica,-13.30944444,-49.11749999
A011,SAO SIMAO,GO,Operante,Automatica,-18.96916666,-50.63333333
A012,LUZIANIA,GO,Operante,Automatica,-16.26055555,-47.96694443
A013,ARAGARCAS,GO,Operante,Automatica,-15.90277777,-52.24527777
A014,GOIAS,GO,Operante,Automatica,-15.93972221,-50.14138888
A015,ITAPACI,GO,Pane,Automatica,-14.97972221,-49.53944444
A016,JATAI,GO,Operante,Automatica,-17.9236111,-51.71749999
A017,POSSE,GO,Operante,Automatica,-14.08916666,-46.36638888
A022,GOIANESIA,GO,Operante,Automatica,-15.22027777,-48.98999999
A023,CAIAPONIA,GO,Operante,Automatica,-16.96694443,-51.81749999
A024,ALTO PARAISO DE GOIAS,GO,Operante,Automatica,-14.13305554,-47.52333332
A025,RIO VERDE,GO,Operante,Automatica,-17.78527777,-50.965
A026,MINEIROS,GO,Operante,Automatica,-17.45472222,-52.60111111
A027,PARAUNA,GO,Operante,Automatica,-16.9625,-50.42555554
A028,IPORA,GO,Operante,Automatica,-16.42305554,-51.14888888
A029,EDEIA,GO,Operante,Automatica,-17.33694444,-49.91472222
A031,SAO MIGUEL DO ARAGUAIA,GO,Operante,Automatica,-12.82055554,-50.33583333
A032,MONTE ALEGRE DE GOIAS,GO,Operante,Automatica,-13.25361111,-46.89027777
A033,PIRES DO RIO,GO,Operante,Automatica,-17.30416666,-48.28416666
A034,CATALAO,GO,Operante,Automatica,-18.15472222,-47.92749999
A035,ITUMBIARA,GO,Operante,Automatica,-18.40972222,-49.19194444
A036,CRISTALINA,GO,Operante,Automatica,-16.78499999,-47.61305555
A037,SILVANIA,GO,Pane,Automatica,-16.67972221,-48.61805554
A042,BRAZLANDIA,DF,Operante,Automatica,-15.6525,-48.20138888
A045,AGUAS EMENDADAS,DF,Operante,Automatica,-15.59638888,-47.62583332
A046,GAMA (PONTE ALTA),DF,Operante,Automatica,-15.93527777,-48.13749999
A047,PARANOA (COOPA-DF),DF,Operante,Automatica,-16.01222222,-47.5575
A056,CRISTALINA (FAZENDA SANTA MONICA),GO,Operante,Automatica,-16.39944444,-47.62583332
A702,CAMPO GRANDE,MS,Operante,Automatica,-20.44722221,-54.72249999
A703,PONTA PORA,MS,Operante,Automatica,-22.5525,-55.71638888
A704,TRES LAGOAS,MS,Operante,Automatica,-20.79499999,-51.71333333
A709,IVINHEMA,MS,Operante,Automatica,-22.30055555,-53.82277777
A710,PARANAIBA,MS,Operante,Automatica,-19.69555555,-51.18166666
A717,NHUMIRIM,MS,Operante,Automatica,-18.9886111,-56.62277777
A719,AQUIDAUANA,MS,Operante,Automatica,-20.47555554,-55.78388888
A720,COXIM,MS,Pane,Automatica,-18.51222222,-54.7361111
A721,DOURADOS,MS,Operante,Automatica,-22.19388888,-54.91138888
A722,MIRANDA,MS,Operante,Automatica,-20.39555555,-56.43166666
A723,PORTO MURTINHO,MS,Operante,Automatica,-21.70583333,-57.88666666
A724,CORUMBA,MS,Operante,Automatica,-18.99666666,-57.63749999
A730,CHAPADAO DO SUL,MS,Operante,Automatica,-18.80222222,-52.6025
A731,MARACAJU,MS,Operante,Automatica,-21.60916666,-55.17749999
A732,SAO GABRIEL DO OESTE,MS,Operante,Automatica,-19.42027777,-54.55305555
A742,CASSILANDIA,MS,Operante,Automatica,-19.12249999,-51.72083332
A743,RIO BRILHANTE,MS,Operante,Automatica,-21.77499999,-54.52805554
A749,JUTI,MS,Operante,Automatica,-22.85722222,-54.60555555
A750,AMAMBAI,MS,Operante,Automatica,-23.0025,-55.32944443
A751,SETE QUEDAS,MS,Operante,Automatica,-23.96694443,-55.02416666
A752,ITAQUIRAI,MS,Pane,Automatica,-23.44944444,-54.18194443
A754,SIDROLANDIA,MS,Operante,Automatica,-20.98166666,-54.97194443
A756,AGUA CLARA,MS,Operante,Automatica,-20.44444444,-52.87583332
A758,JARDIM,MS,Operante,Automatica,-21.4786111,-56.13777777
A759,BATAGUASSU,MS,Operante,Automatica,-21.75,-52.47138888
A760,COSTA RICA,MS,Operante,Automatica,-18.49277777,-53.17138888
A761,SONORA,MS,Operante,Automatica,-17.63527777,-54.76055555
A772,AMAMBAI - NOVO HORIZONTE,MS,Operante,Automatica,-23.1211111,-54.86555555
A901,CUIABA,MT,Operante,Automatica,-15.60694444,-56.06083333
A902,TANGARA DA SERRA,MT,Operante,Automatica,-14.65,-57.43166666
A903,S.J. DO RIO CLARO,MT,Operante,Automatica,-13.45388888,-56.67722221
A904,SORRISO,MT,Operante,Automatica,-12.555,-55.72277777
A905,CAMPO NOVO DOS PARECIS,MT,Operante,Automatica,-13.78583333,-57.8386111
A906,GUARANTA DO NORTE,MT,Pane,Automatica,-9.9525,-54.89777777
A907,RONDONOPOLIS,MT,Operante,Automatica,-16.4625,-54.58027777
A908,AGUA BOA,MT,Pane,Automatica,-14.01638888,-52.21166666
A909,ALTO ARAGUAIA,MT,Operante,Automatica,-17.33944444,-53.22444443
A910,APIACAS,MT,Pane,Automatica,-9.56333333,-57.3936111
A911,SAPEZAL,MT,Operante,Automatica,-13.30388888,-58.76333333
A912,CAMPO VERDE,MT,Operante,Automatica,-15.55888888,-55.17944443
A914,JUARA,MT,Pane,Automatica,-11.28027777,-57.52666666
A916,QUERENCIA,MT,Operante,Automatica,-12.60305555,-52.1625
A917,SINOP,MT,Operante,Automatica,-11.98222221,-55.56611111
A919,COTRIGUACU,MT,Pane,Automatica,-9.90638888,-58.57222221
A920,JUINA,MT,Pane,Automatica,-11.37499999,-58.77472221
A923,PRIMAVERA DO LESTE,MT,Operante,Automatica,-15.57999999,-54.3811111
A924,ALTA FLORESTA,MT,Pane,Automatica,-10.07722221,-56.17916666
A926,CARLINDA,MT,Pane,Automatica,-9.97055554,-55.82749999
A927,BRASNORTE (NOVO MUNDO),MT,Operante,Automatica,-12.52194443,-58.23138888
A928,NOVA MARINGA,MT,Operante,Automatica,-13.0386111,-57.09222221
A929,NOVA UBIRATA,MT,Operante,Automatica,-13.68666666,-54.95611111
A930,GAUCHA DO NORTE,MT,Operante,Automatica,-13.18472221,-53.2575
A931,SANTO ANTONIO DO LESTE,MT,Operante,Automatica,-14.92499999,-53.88444444
A932,GUIRATINGA,MT,Operante,Automatica,-16.34166666,-53.76611111
A933,ITIQUIRA,MT,Pane,Automatica,-17.17499999,-54.50166666
A934,ALTO TAQUARI,MT,Operante,Automatica,-17.8411111,-53.28944444
A935,PORTO ESTRELA,MT,Operante,Automatica,-15.32472221,-57.22583332
A936,SALTO DO CEU,MT,Operante,Automatica,-15.12472221,-58.12722221
A937,PONTES E LACERDA,MT,Operante,Automatica,-15.32527777,-59.2336111
A941,CACERES,MT,Operante,Automatica,-16.12999999,-57.69083333
A942,SAO JOSE DO XINGU,MT,Pane,Automatica,-10.48416666,-52.37249999
A943,SERRA NOVA DOURADA,MT,Pane,Automatica,-11.98777777,-51.4261111
A944,ROSARIO OESTE,MT,Operante,Automatica,-14.82888888,-56.44194444
A945,BARRA DO GARCAS,MT,Operante,Automatica,-15.88472221,-52.22722221
A946,MARCELANDIA,MT,Operante,Automatica,-11.08499999,-54.51388888
A947,NOVO SANTO ANTONIO,MT,Operante,Automatica,-12.28805555,-50.97138888
A948,SANTA RITA DO TRIVELATO,MT,Operante,Automatica,-13.81805554,-55.26777777
A949,DIAMANTINO,MT,Operante,Automatica,-14.37777777,-56.37972221
A950,ITANHANGA,MT,Operante,Automatica,-12.23416666,-56.60222222
A951,FELIZ NATAL,MT,Operante,Automatica,-12.39694444,-54.92999999
A952,TABAPORA,MT,Operante,Automatica,-11.05055555,-56.83583333
A953,NOVA CANAA DO NORTE,MT,Operante,Automatica,-10.62444443,-55.72416666
A954,COCALINHO,MT,Operante,Automatica,-14.38555555,-51.00972222
A955,LUCAS DO RIO VERDE,MT,Operante,Automatica,-13.07499999,-55.91138888
A956,NOVA XAVANTINA,MT,Operante,Automatica,-14.69777777,-52.35027777
A957,CANARANA,MT,Operante,Automatica,-13.47055554,-52.30444444
A958,CHAPADA DOS GUIMARAES,MT,Operante,Automatica,-15.46055555,-55.74972221
A959,NOVA UBIRATA - SEDE,MT,Operante,Automatica,-13.03249999,-55.24194444
A960,PORTO ESPERIDIAO,MT,Operante,Automatica,-15.86083333,-58.47222221
A961,MIRASSOL D'OESTE,MT,Operante,Automatica,-15.64027777,-58.07888888
A962,CAMPOS DE JULIO,MT,Operante,Automatica,-13.72722221,-59.2625
A963,COMODORO NORTE,MT,Operante,Automatica,-13.63555555,-59.78499999
A964,ARIPUANA,MT,Operante,Automatica,-10.18249999,-59.45972222
A965,COLNIZA,MT,Operante,Automatica,-9.45222222,-59.23527777
A966,POCONE,MT,Operante,Automatica,-17.33666666,-56.76999999
A967,BARRA DO BUGRES,MT,Operante,Automatica,-15.07583332,-57.19472221
A968,CONFRESA,MT,Operante,Automatica,-10.65416666,-51.55222222
A969,SANTO ANTONIO DO LEVERGER,MT,Operante,Automatica,-15.85472222,-56.07083332
A970,ESPIGAO DO LESTE,MT,Operante,Automatica,-11.42666666,-52.18583333
S701,ANGELICA,MS,Operante,Automatica,-22.14805555,-53.76361111
S702,ARAL MOREIRA,MS,Operante,Automatica,-22.955,-55.6261111
S703,BANDEIRANTES,MS,Operante,Automatica,-19.94555555,-54.3686111
S704,BONITO,MS,Operante,Automatica,-21.24666666,-56.45055555
S706,CAARAPO,MS,Operante,Automatica,-22.65694444,-54.81944443
S707,CAMAPUA,MS,Operante,Automatica,-19.58749999,-54.02999999
S708,FATIMA DO SUL,MS,Operante,Automatica,-22.30861111,-54.32583332
S709,IGUATEMI,MS,Operante,Automatica,-23.64444444,-54.57027777
S710,ITAPORA,MS,Operante,Automatica,-22.09277777,-54.79888888
S711,LAGUNA CARAPA,MS,Operante,Automatica,-22.57527777,-55.16027777
S712,NOVA ALVORADA DO SUL,MS,Operante,Automatica,-21.45083333,-54.34194444
S713,NOVA ANDRADINA,MS,Operante,Automatica,-22.0786111,-53.46583333
S714,PEDRO GOMES,MS,Operante,Automatica,-18.07277777,-54.54888888
S715,RIBAS DO RIO PARDO,MS,Operante,Automatica,-20.46666666,-53.76305555
S716,SANTA RITA DO PARDO,MS,Operante,Automatica,-21.30583333,-52.82027777
S718,CORUMBA (FAZ. CAMPO ZELIA),MS,Operante,Automatica,-18.6236111,-55.68666666
S719,PORTO MURTINHO (FAZ. SAO LUIS),MS,Operante,Automatica,-20.97305554,-57.40111111
S720,CORUMBA (FAZ. XARAES),MS,Operante,Automatica,-19.49444444,-56.95777777
S721,CORUMBA (FAZ. SAO CANDIDO),MS,Operante,Automatica,-20.08583333,-57.30611111
S722,CORGUINHO (FAZ. MORRO ALEGRE),MS,Operante,Automatica,-19.76111111,-55.32972221
S723,PARAISO DAS AGUAS (FAZ. RANCHINHO),MS,Operante,Automatica,-19.233169,-53.329431
S724,NIOAQUE (FAZ. BURITIZINHO DA DOMINGUENA),MS,Operante,Automatica,-21.067069,-55.645874
S725,CORUMBA (FAZ. SAO FRANCISCO),MS,Operante,Automatica,-17.790603,-55.774991
S726,CORUMBA (ECOA AMOLAR),MS,Operante,Automatica,-18.040824,-57.489877
S727,CORUMBA (FAZ. ELDORADO DA FORMOSA),MS,Operante,Automatica,-17.908087,-56.5671
S728,RIBAS DO RIO PARDO (FAZ. CAMPO RICO),MS,Operante,Automatica,-21.189845,-53.555382
S729,AQUIDAUANA (FAZ. BARRANCO ALTO),MS,Operante,Automatica,-19.573766,-56.155409
S730,CARACOL (FAZ. OURO E PRATA),MS,Operante,Automatica,-21.854199,-56.868788
S731,ALCINOPOLIS (FAZ. VALE DO CEDRO),MS,Operante,Automatica,-18.052175,-53.845593
S732,FIGUEIRAO (FAZ. WATERLOO),MS,Operante,Automatica,-18.74532,-53.936083
S733,AGUA CLARA (FAZ. PELEJA),MS,Operante,Automatica,-19.774306,-53.273982
S734,INOCENCIA (FAZ. RECANTO),MS,Operante,Automatica,-19.98796,-52.139617
S735,NAVIRAI (FAZ. SANTA HELENA DO PINDO),MS,Operante,Automatica,-22.899909,-53.869219
S736,ANAURILANDIA (FAZ. SANTO ANDRE),MS,Operante,Automatica,-22.046806,-52.897545
